Sexo,Edad,Colegio,Ciudad/Cantón,Tiempo libre,Uso de equipos para ver contenido audiovisual,Importancia propia,Compras,Importancia de relaciones sociales,Cratividad ,Vida diaria en redes sociales,R Social mas usada,Por qué la preferencai ,Dispositivo E usado,Info (de que manera buscas),Marca o nombre que se te venga a la cabeza (Video),Marca o nombre que se te venga a la cabeza (musica),Marca o nombre que se te venga a la cabeza (informarte),Marca o nombre que se te venga a la cabeza (entretenimiento),Edad (1 dispositivo electronico),Palabra trabajo ,Al terminar el colegio ,Tener primer trabajo ,Prefeririras ser ,Permanencia en primer trabajo,Aspiraciones salariales,Incentivo de producto (Exclusivo),Incentivo de producto (Reciclado),Incentivo de producto (Aporte al medio ambiente),Incentivo de producto (personalizado),Incentivo de producto (Económico),Pensamiento (A-D),Vinculas éxito personal,Cuanto gastas en un antojo ,Mencion en tus redes sociales ,Puedes llegar a un publico especifico en una red social ,Acpertar difundir contenido en una RS,Demostracion de un producto en publico ,"Informacion de los influencers, piensas:","Toma de decisión, consideras a los influencers ",Que contenido prefieres ver en influencers ,Influencers nacionales,Influencers Nacionales ,Influencers internacionales ,Influencers Internacionales ,Cómo te ves en 10 años ,Estas de acuerdo con: Aborto ,Matrimonio igualitario,Eutanasia,La pena de muerte ,Donación de órganos ,El matrimonio para toda la vida ,La enseñanza religiosa en las escuelas 
Masculino,16,Juan Bosco,Duran,RR.SS.,Celular,Estado físico,Indiferente,Total acuerdo,8,Necesarias,Facebook,Privacidad,Laptop,Enciclopedias Virtuales,Youtube ,Youtube ,Google,Facebook,12,Dinero,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De año y medio a 2 años ,Más de $550,5,2,1,5,4,Es importante pero hay que pensar también en el presente,A logros académicos ,$5.01 - $10 ,Probablemente no ,Si ,Puede ser a cambio de un producto ,Por el producto y mostrar la imagen personal,Es verdad,Poco importante ,deporte ,Abdala ,Anthony Swag ,Ivan Tapia ,Alex Mirton,trabajando para ser un buen profesional,Imparcial ,Imparcial ,No estoy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,De acuerdo
Masculino,17,Juan Bosco,Duran,internet,Televisón,Estado físico,Indiferente,Indiferente,8,Necesarias,Facebook,Distracción,Ipad/tablet,Video,Google ,Youtube ,Google,Netflix ,15,Dinero,Solo estudiar ,Apenas esté graduado/a del colegio,Un emprendedor ,Menos de 6 meses ,El total del salario basico ,3,2,4,1,5,Es muy importante ahorrar,A logros personales ,$5.01 - $10 ,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,Poco importante ,Tecnología,Felipe Crespo ,Logan y Logan ,Luisito Comunica ,German,viajando por el mundo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Imparcial
Femenino,18,Juan Bosco,Duran,Ejercicios,Celular,Conocimientos,Acuerdo,Acuerdo,8,Necesarias,Instagram ,Distracción,Celular ,Buscador,Youtube ,Spotify,Noticias ,Google,11,Desarrollo de conocimiento ,Solo estudiar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,Más de $550,5,5,4,3,1,Es muy importante ahorrar,A logros personales ,$1 - $5,Probablemente si ,Si ,Tal vez por algo extra (Dinero),"Si, solo por el producto ",Lo tomas en consideración ,importante,moda ,Geniodemente,Quecomersambo,Aimee Sang,Chai Ferragni,haciendo estudios de posgrado ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Imparcial ,De acuerdo,De acuerdo
Masculino,18,Juan Bosco,Duran,Otros ,Celular,Conocimientos,Indiferente,Total acuerdo,10,Muy necesarias ,Instagram ,Popularidad,Celular ,Redes Sociales,Youtube ,Spotify,Twitter,Facebook,7,Otra palabra,Ninguna ,De 6 meses a un año de haberme graduado ,Un empleado en empresa multinacional ,De 6 meses a un año ,El total del salario basico ,1,4,5,1,3,Es muy importante ahorrar,Al factor económico ,$20.01 - $30,Seguro que sí,Si ,Tal vez por algo extra (Dinero),"Si, solo por el producto ",Lo tomas en consideración ,muy importante ,moda ,Geniodemente,Anthony Swag ,Luisito Comunica ,Alex Mirton,ninguna ,Muy de acuerdo ,No estoy de acuerdo ,Imparcial ,De acuerdo,Muy de acuerdo ,Muy de acuerdo ,Imparcial
Masculino,16,Juan Bosco,Duran,internet,Celular,Actitud,Acuerdo,Desacuerdo ,3,Necesarias,Instagram ,Popularidad,Celular ,Buscador,Youtube ,Spotify,Google,Instagram ,13,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De año y medio a 2 años ,El total del salario basico ,3,4,1,2,5,Es muy importante ahorrar,Al reconocimiento social ,$10.01 - $20,Seguro que sí,No ,Tal vez por algo extra (Dinero),"Si, solo por el producto ",Poco creíble,Poco importante ,moda ,Felipe Crespo ,Enchufe Tv,German,Luisito Comunica ,trabajando para ser un buen profesional,No estoy de acuerdo ,Poco de acuerdo ,Imparcial ,De acuerdo,De acuerdo,Imparcial ,No estoy de acuerdo 
Masculino,17,Juan Bosco,Duran,internet,Celular,Estado físico,Acuerdo,Acuerdo,8,Necesarias,Facebook,Distracción,Celular ,Buscador,Youtube ,Youtube ,Google,Youtube ,12,Dinero,Ambas,de 1 a 2 años despues de haberme graduado,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,2,4,3,1,1,Es muy importante ahorrar,Al factor económico ,$1 - $5,Seguro que sí,Si ,Puede ser a cambio de un producto ,Por el producto y algo de dinero ,Lo tomas en consideración ,Poco importante ,Tecnología,Anthony Swag ,Los Trix ,Luisito Comunica ,Cracks,viajando por el mundo ,Imparcial ,De acuerdo,Imparcial ,Muy de acuerdo ,Muy de acuerdo ,Imparcial ,No estoy de acuerdo 
Femenino,18,Juan Bosco,Duran,RR.SS.,Televisón,Actitud,Desacuerdo,Acuerdo,7,Poco necesarias,Facebook,Distracción,Celular ,Buscador,Youtube ,Youtube ,Instagram ,Facebook,8,Estatus y poder,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,De $451 a $550,5,4,3,2,1,Es muy importante ahorrar,A logros académicos ,$5.01 - $10 ,Probablemente si ,Si ,Tal vez por algo extra (Dinero),No lo haría,Lo tomas en consideración ,importante,moda ,Gabriela Pazmiño ,felipe Crespo ,German,Yuya ,trabajando para ser un buen profesional,Poco de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Imparcial ,De acuerdo,Muy de acuerdo ,No estoy de acuerdo 
Femenino,18,Juan Bosco,Duran,RR.SS.,Televisón,Actitud,Desacuerdo,Acuerdo,6,Poco necesarias,Instagram ,Distracción,Celular ,Buscador,Google ,Youtube ,Google,Facebook,10,Dinero,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,De $451 a $550,5,4,2,2,1,Es importante pero hay que pensar también en el presente,A logros académicos ,$5.01 - $10 ,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,importante,moda ,Flor Maria Palomeque ,Jose Gabriel ,Yuya ,Luisito Comunica ,trabajando para ser un buen profesional,Poco de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Imparcial ,De acuerdo,Muy de acuerdo ,No estoy de acuerdo 
Femenino,17,Juan Bosco,Duran,internet,Televisón,Habilidades,Acuerdo,Acuerdo,8,Muy necesarias ,Instagram ,Distracción,Celular ,Enciclopedias Virtuales,Youtube ,Spotify,Instagram ,Netflix ,7,Dinero,Ambas,Apenas esté graduado/a del colegio,Un empleado en una empresa local,De un año a año y medio ,El total del salario basico ,5,3,2,1,4,Es muy importante ahorrar,A logros académicos ,$10.01 - $20,Probablemente si ,Si ,Puede ser a cambio de un producto ,Por el producto y mostrar la imagen personal,Lo tomas en consideración ,importante,comida,Felipe Crespo ,sofia caiche,Yuya ,Pautips ,haciendo estudios de posgrado ,No estoy de acuerdo ,Imparcial ,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,Muy de acuerdo ,De acuerdo
Masculino,18,Juan Bosco,Duran,Otros ,Celular,Conocimientos,Indiferente,Total acuerdo,10,Muy necesarias ,Instagram ,Popularidad,Celular ,Redes Sociales,Youtube ,Spotify,Twitter,Facebook,7,Otra palabra,Ninguna ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,Más de $550,1,4,5,1,3,Es muy importante ahorrar,Al factor económico ,$20.01 - $30,Seguro que sí,Si ,Tal vez por algo extra (Dinero),"Si, solo por el producto ",Lo tomas en consideración ,muy importante ,moda ,Enchufe tv,Anthony Swag ,Luisito Comunica ,Alex Mirton,ninguna ,Muy de acuerdo ,No estoy de acuerdo ,Imparcial ,De acuerdo,Muy de acuerdo ,Muy de acuerdo ,Imparcial
Masculino,17,Juan Bosco,Duran,internet,Computadora,Conocimientos,Acuerdo,Indiferente,6,Necesarias,Twitter,Distracción,Laptop,Enciclopedias Virtuales,Youtube ,Youtube ,Noticias ,Youtube ,13,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,2,2,3,4,1,Es muy importante ahorrar,Al reconocimiento social ,$5.01 - $10 ,Probablemente si ,Si ,Puede ser a cambio de un producto ,Por el producto y algo de dinero ,Poco creíble,Poco importante ,Tecnología,Enchufe tv,Enfrain Ruales,Luisito Comunica ,Aimee Sang,trabajando para ser un buen profesional,Poco de acuerdo ,Poco de acuerdo ,Imparcial ,Imparcial ,Imparcial ,Muy de acuerdo ,De acuerdo
Femenino,16,Juan Bosco,Duran,Cine,Celular,Salud mental,Total acuerdo,Acuerdo,9,Muy necesarias ,Instagram ,Popularidad,Celular ,Enciclopedias Virtuales,Youtube ,Spotify,Google,Netflix ,12,Desarrollo de conocimiento ,Solo estudiar ,Al pasar más de 3 años de haberme graduado,Un empleado en una empresa familiar,De año y medio a 2 años ,Más de $550,1,3,3,3,5,Es importante pero hay que pensar también en el presente,Al factor económico ,$20.01 - $30,Seguro que sí,Si ,Puede ser a cambio de un producto ,"Si, solo por el producto ",Es verdad,importante,moda ,Sofia Caiche,Geniodemente,Luisito Comunica ,yuya ,con una familia establecida,De acuerdo,Imparcial ,Imparcial ,De acuerdo,De acuerdo,Muy de acuerdo ,De acuerdo
Femenino,16,Juan Bosco,Duran,internet,Computadora,Habilidades,Desacuerdo,Indiferente,5,Muy necesarias ,Facebook,Popularidad,Celular ,Redes Sociales,Youtube ,Youtube ,Facebook,Facebook,15,Vocación ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,2,2,2,2,1,Es muy importante ahorrar,Al reconocimiento social ,$1 - $5,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,Poco importante ,viajes,Samara montero ,Geniodemente,Yuya ,Pautips ,trabajando para ser un buen profesional,Poco de acuerdo ,Imparcial ,Poco de acuerdo ,Imparcial ,De acuerdo,De acuerdo,Imparcial
Masculino,15,Juan Bosco,Duran,RR.SS.,Computadora,Estado físico,Total acuerdo,Total acuerdo,3,Imprescindibles ,Instagram ,Distracción,Celular ,Buscador,Youtube ,Spotify,Google,Instagram ,15,Desarrollo de conocimiento ,Ambas,De 2 a 3 años después de haberme graduado,Un emprendedor ,De 6 meses a un año ,Más de $550,5,2,3,4,5,No es importante porque hay que hacer compras necesarias en el presente,Al factor económico ,$20.01 - $30,Probablemente si ,Si ,Puede ser a cambio de un producto ,Por el producto y mostrar la imagen personal,Lo tomas en consideración ,muy importante ,moda ,Enchufe tv,Abdala ,Luisito Comunica ,Alex Mirton,con una familia establecida,Muy de acuerdo ,Muy de acuerdo,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,Imparcial
Femenino,16,Juan Bosco,Duran,internet,Celular,Habilidades,Desacuerdo,Desacuerdo ,7,Muy necesarias ,Facebook,Distracción,Celular ,Video,Youtube ,Spotify,Noticias ,Instagram ,12,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un empleado en empresa multinacional ,Más de 2 años,El total del salario basico ,4,4,4,4,1,Es muy importante ahorrar,A logros académicos ,$20.01 - $30,Probablemente si ,Si ,Puede ser a cambio de un producto ,"Si, solo por el producto ",Poco creíble,Poco importante ,deporte ,Flor Maria Palomeque ,Enfrain Ruales,Luisito Comunica ,Kimberly Loaiza ,trabajando para ser un buen profesional,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,No estoy de acuerdo 
Masculino,17,Juan Bosco,Duran,RR.SS.,Televisón,Habilidades,Indiferente,Indiferente,9,Poco necesarias,Facebook,Facilidad de uso,Celular ,Bibliotecas virtuales / repositorios,Youtube ,Spotify,Facebook,Facebook,13,Vocación ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De año y medio a 2 años ,Menos que el salario básico unificado ,2,3,4,2,1,Es muy importante ahorrar,A logros personales ,$20.01 - $30,Probablemente no ,No ,No estaría dispuesto,No lo haría,Poco creíble,Poco importante ,deporte ,Felipe Crespo ,Geniodemente,Luisito Comunica ,German,trabajando para ser un buen profesional,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,Imparcial
Femenino,17,Juan Bosco,Duran,Cine,Celular,Habilidades,Indiferente,Acuerdo,5,Muy necesarias ,Facebook,Popularidad,Laptop,Redes Sociales,Youtube ,Spotify,Facebook,Netflix ,11,Desarrollo de conocimiento ,Solo estudiar ,de 1 a 2 años despues de haberme graduado,Un empleado en una empresa familiar,De 6 meses a un año ,El total del salario basico ,4,4,3,3,2,Es muy importante ahorrar,Al reconocimiento social ,$20.01 - $30,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,Poco importante ,Tecnología,Gabriela Pazmiño ,Anthony Swag ,yuya ,Luisito Comunica ,con una familia establecida,Poco de acuerdo ,Poco de acuerdo ,Poco de acuerdo ,Imparcial ,Imparcial ,De acuerdo,De acuerdo
Masculino,17,Juan Bosco,Duran,Televisión,Televisón,Estado físico,Indiferente,Total acuerdo,8,Imprescindibles ,Instagram ,Popularidad,Celular ,Video,Youtube ,Spotify,Google,Youtube ,13,Vocación ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,Menos de 6 meses ,Menos que el salario básico unificado ,3,4,5,3,1,Es muy importante ahorrar,Al factor económico ,$5.01 - $10 ,Seguro que sí,Si ,Puede ser a cambio de un producto ,"Si, solo por el producto ",Lo tomas en consideración ,Poco importante ,deporte ,Felipe Crespo ,Geniodemente,Luisito Comunica ,Alex Mirton,trabajando para ser un buen profesional,Imparcial ,De acuerdo,Imparcial ,Imparcial ,De acuerdo,De acuerdo,De acuerdo
Femenino,18,Juan Bosco,Duran,RR.SS.,Televisón,Actitud,Desacuerdo,Acuerdo,7,Poco necesarias,Facebook,Distracción,Celular ,Buscador,Youtube ,Youtube ,Google,Facebook,10,Dinero,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,De $451 a $550,5,4,3,2,1,Es muy importante ahorrar,A logros académicos ,$5.01 - $10 ,Probablemente si ,Si ,Tal vez por algo extra (Dinero),No lo haría,Lo tomas en consideración ,importante,moda ,Michela Pincay,Samara montero ,German,Luisito Comunica ,trabajando para ser un buen profesional,Poco de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Imparcial ,De acuerdo,Muy de acuerdo ,No estoy de acuerdo 
Masculino,17,Juan Bosco,Duran,internet,Televisón,Habilidades,Acuerdo,Acuerdo,6,Muy necesarias ,Facebook,Distracción,Celular ,Enciclopedias Virtuales,Youtube ,Spotify,Instagram ,Netflix ,10,Dinero,Ambas,Apenas esté graduado/a del colegio,Un empleado en una empresa familiar,De un año a año y medio ,El total del salario basico ,5,3,2,1,4,Es muy importante ahorrar,A logros académicos ,$10.01 - $20,Probablemente si ,Si ,Puede ser a cambio de un producto ,Por el producto y mostrar la imagen personal,Lo tomas en consideración ,importante,comida,Felipe Crespo ,Anthony Swag ,German,Luisito Comunica ,haciendo estudios de posgrado ,No estoy de acuerdo ,Imparcial ,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,Muy de acuerdo ,De acuerdo
Masculino,17,Juan Bosco,Duran,RR.SS.,Celular,Actitud,Indiferente,Total acuerdo,8,Poco necesarias,Facebook,Distracción,Celular ,Buscador,Google ,Youtube ,Instagram ,Youtube ,12,Libertad,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,De $451 a $550,5,2,3,4,5,Es muy importante ahorrar,A logros académicos ,$10.01 - $20,Seguro que sí,Si ,Puede ser a cambio de un producto ,"Si, solo por el producto ",Poco creíble,importante,moda ,Enchufe tv,Felipe Crespo ,Luisito Comunica ,Juan de Dios Pantoja,trabajando para ser un buen profesional,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,De acuerdo
Masculino,16,Juan Bosco,Duran,RR.SS.,Celular,Estado físico,Indiferente,Total acuerdo,5,Necesarias,Facebook,Privacidad,Laptop,Enciclopedias Virtuales,Youtube ,Youtube ,Google,Facebook,12,Dinero,Ambas,de 1 a 2 años despues de haberme graduado,Un emprendedor ,De año y medio a 2 años ,Más de $550,5,2,1,5,4,Es importante pero hay que pensar también en el presente,A logros académicos ,$5.01 - $10 ,Probablemente no ,Si ,Puede ser a cambio de un producto ,Por el producto y mostrar la imagen personal,Es verdad,Poco importante ,deporte ,Abdala ,Anthony Swag ,Luisito Comunica ,german,trabajando para ser un buen profesional,Imparcial ,Imparcial ,No estoy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,De acuerdo
